from	to
10537237	3911355
12028888	2901002
5487719	11872364
5487719	10722934
5487719	11232091
12005616	5266708
5703997	1855988
9378830	6517513
12024595	4396243
6589617	2336654
6589617	4333359
12018686	10275246
12018686	7136195
3767239	3767239
3767239	7964527
3180386	2901002
9431573	11884237
9378830	1651543
9837354	9209546
11970440	6925185
11970440	11610186
11970440	4674445
11053294	3944322
11908896	11908896
11908896	6893256
9431573	3161575
9431573	3185459
4526288	5847854
12000031	1139196
10803986	10713992
10803986	8380272
3871499	10791931
3871499	8544123
7422143	532312
1228481	2901002
415088	10655111
9431573	2535611
4150078	7420056
4150078	532312
4150078	8123710
11956484	2901002
11956484	9081267
9580869	10734200
4347859	1752959
10829044	9698684
11958749	7758804
10808871	10818128
7535670	7031759
7535670	9840637
11977590	11779238
11977590	10713992
11977590	9698684
11977677	3836843
9283026	3704368
9283026	11945002
9283026	2901002
10647332	7758804
8266189	11747861
7353600	6361531
11872426	7388477
11580723	11969592
11580723	8708364
5703997	2592393
5703997	10740966
8359767	9698684
11956484	3462681
11956484	11498682
11135962	2901002
11135962	10124054
11884542	3763302
10770660	2901002
415088	9840637
415088	4286590
415088	3742686
415088	1651543
9644362	5833590
2022284	9274732
11934674	9840637
11951151	11947068
11951151	11945002
7505228	2901002
8958254	11492024
8958254	2901002
9644362	7964527
11053294	7964527
11053294	2535611
7517610	10189214
7517610	2535611
2658898	2741091
2658898	3715974
11946630	11535376
8339485	51685
5250909	2703401
5250909	8733066
5250909	10713992
11945555	2901002
6664990	7333883
6664990	7295157
6664990	6361531
11941800	4909087
11939521	11864134
11939521	6512253
11810737	9025861
5328289	2538939
5703997	10837503
1033606	2947378
11723688	632227
3993270	10996274
11639342	11633355
2493856	7903159
2493856	11832127
11928649	10067043
10018602	11884237
11456979	2901002
11456979	1311943
8821584	5282702
8821584	2631973
8821584	5507529
8382707	4333359
11729738	10837503
11729738	2535611
11729738	9609447
10407737	5282702
10407737	8544123
11853632	2901002
11853632	7964527
11139350	2901002
11463582	11605063
8446738	6361531
9585960	4333359
9585960	10140310
8301072	7964527
11639969	3483203
11601034	11607986
9083355	7964527
4160251	7714279
11871120	3483203
11871120	10067043
1033606	2901002
11905726	4342169
7728410	10837503
2485873	1219295
3631440	4585963
11880185	11607986
11173141	9081267
5055891	4354477
5072692	2535611
4996042	6361531
7954504	7964527
7954504	11470719
7954504	3515631
10808871	6925185
10808871	10885502
10808871	2667536
10808871	2901002
11816060	2901002
3656142	4390160
1536343	7964527
11600655	9375102
5868293	7964527
5868293	2901002
5868293	3483203
5868293	11205149
5868293	2901002
3058703	7964527
3058703	9099959
3058703	2901002
11878746	1592364
11878337	1592364
667355	5025009
11430761	10197418
11430761	7149485
11463582	9840637
11463582	2901002
4996042	1422451
4996042	10442615
667355	11849973
667355	6393053
667355	6440173
10632473	8116223
10632473	11553043
10632473	10632473
10632473	7093741
2598316	6200416
667355	11607986
11816060	1803908
11816060	2901002
10018602	10295265
11359253	6361531
11359253	4333359
11463582	6925185
11463582	6361531
11846355	10239974
9161607	3944322
9161607	2336654
11737596	3876609
11737596	5114164
11737596	11607986
5124600	11170205
11851719	10295265
9822593	9822593
9822593	9822593
9822593	10426037
11848326	10732232
11848326	8285811
11848326	11607986
11848326	7480460
6843546	11470719
6843546	7964527
8915326	7388477
8915326	2538939
11842999	2538939
11842999	10239974
10537172	5704863
10537172	11832001
5868293	9081267
11793041	2901002
11793041	2538939
11793041	423926
8076217	7964527
8076217	2535611
11838431	7988497
11838431	4895877
7039652	6770704
11836102	1592364
10728472	11607986
10728472	9840637
10704050	9840637
10704050	11607986
11723147	6361531
11723147	11205149
10473393	10473393
9144386	9840637
10018602	10018602
808946	4337867
8150532	11205149
8150532	7175713
8150532	3545273
8150532	11669446
8150532	10201580
11049287	6925185
11822211	1628053
11740957	2535611
2679225	4238408
11113048	7388477
11773938	9840637
11773938	11607986
3249399	10997663
3249399	8094885
10906075	2988730
1479974	11797812
10329877	2901002
11027302	6941400
1750612	7711899
3689085	11607986
3689085	6512253
10808871	6858244
10808871	4245112
10808871	1753932
10808871	11643825
11783204	6512253
11781149	8874696
11781149	11607986
7691211	6695849
7691211	7776603
10750517	11489387
10750517	10734525
4390183	6265630
4390183	10189214
11665508	11665508
3552144	7964527
7420623	785673
7420623	5705476
9921453	11237863
9921453	7913251
9921453	9698684
8700970	6222977
8700970	2901002
2401532	6573902
10375196	9840637
5212614	2535611
5212614	7471822
5813071	4238408
2480410	11557974
2480410	5052365
11027302	8708364
11027302	2901002
11741662	8708364
4058737	9497687
4058737	4304456
4058737	2255198
11027302	2901002
11196704	2901002
10644025	8094885
10644025	7964527
10631079	3483203
4972716	1910242
4972716	704848
9940344	11747121
9940344	11426718
9940344	10201580
9940344	8353711
9940344	8320861
9940344	7664524
11463582	7604642
5868293	11747861
5868293	2901002
11518140	7988497
3143203	8123710
3143203	11051292
3143203	2901002
9195301	4909087
5864214	6925185
9863261	9716278
9863261	2901002
9944937	4238408
6896310	3412660
6896310	4238408
11181726	6361531
11181726	5776838
9099959	9840637
9497926	9497926
10018602	1832058
11600323	2336654
11600323	9081267
11600323	9840637
11600323	4238408
6759267	11051292
6759267	6361531
11731242	11051292
11729738	3545273
11729738	11730027
11729738	11607986
