from	to
11271281	8926720
10602316	7932273
9288752	4909087
6239923	4909087
10813833	10813833
6799378	7964527
9940782	4909087
11174424	9081267
11174424	4909087
7932273	8123710
8359315	423926
11173141	9081267
10719369	9698684
4526288	9177877
10719369	7093741
5868293	4001592
3146365	2535611
7420623	3483203
9177877	7964527
6083404	7964527
10067043	10067043
8207612	4098013
10770660	9698684
7420623	9209546
2293224	7964527
8791503	6047722
439621	1212401
439621	4909087
9177877	4909087
3277133	4909087
9177877	9209546
4150078	4001592
3277133	7964527
3277133	7964527
9629771	7964527
3277133	7964527
3277133	67579
3277133	67579
3277133	3483203
3277133	9209546
9629771	9629771
3277133	8146556
7420623	7758804
3277133	7964527
8791503	7964527
9161067	7964527
3277133	7964527
3277133	3483203
9161067	3483203
4150078	9209546
3277133	4909087
3277133	4909087
9161067	9161067
8791503	2535611
5703997	9209546
3277133	2535611
9099959	9209546
7930571	4909087
3180386	7964527
5703997	9177877
5703997	9209546
4288043	4288043
7932273	7932273
9099959	9099959
5703997	5741205
5703997	5741205
8290376	8290376
4972716	5741205
4972716	5741205
4972716	5741205
4972716	5741205
