from	to	weight
532312	9840637	1
103254	10836685	1
103254	9081267	1
7392741	9081267	1
5197270	9081267	1
6063482	2901002	2
8353711	2901002	1
9840637	10620028	3
7835267	10620028	2
4985733	9840637	1
7703958	4985733	1
7703958	8557832	1
7703958	9840637	2
8557832	9840637	1
2634219	4238408	2
9081267	6484158	1
2901002	4981721	2
10521959	2901002	2
10521959	4981721	2
10826178	2901002	1
10189214	6282576	2
10189214	10330386	1
10330386	6282576	1
11476249	1762211	2
2901002	4238408	1
7964527	1481986	3
3483203	1481986	1
4238408	1481986	1
7236077	7093741	1
7236077	9165263	1
2535611	2336654	6
2901002	2336654	42
5950399	10419999	1
5950399	2901002	1
10302056	4238408	6
10302056	8347081	4
8347081	4238408	2
7964527	9081267	3
7964527	10113401	1
2901002	9534184	1
1939996	4238408	1
9698684	4238408	2
3444923	9534184	1
1695172	2901002	1
5154274	9081267	1
2214597	9840637	1
6792743	2336654	7
6792743	9698684	2
6792743	4125116	1
6792743	4238408	2
9698684	2336654	6
4125116	2336654	6
4125116	4238408	2
11416991	7440802	1
10010216	11363596	1
6272103	10201580	8
6272103	6422477	3
6422477	10201580	5
5496433	7388477	1
9925225	7388477	1
5150942	2842758	2
7964527	6287308	6
10286422	5847854	1
9081267	5847854	1
10307576	4932316	2
10307576	3483203	2
7964527	4932316	2
11015427	4125116	1
11015427	4238408	2
11015427	2535611	1
11390041	827391	1
11390041	1240268	1
6029105	827391	1
6029105	1240268	1
7964527	7917887	1
7964527	1252759	3
1252759	4909087	2
2901002	4110614	1
9698684	4110614	1
7093741	4110614	1
11015427	10878688	2
3545273	7388477	1
10189214	7388477	1
5094841	5853611	1
5094841	10201580	7
5853611	10201580	6
2901002	10201580	14
8708364	10201580	8
8708364	6764113	1
8708364	1397946	1
6764113	10201580	7
1397946	10201580	7
9988582	10366273	1
7964527	4333359	9
7964527	4125116	1
4125116	4333359	2
7964527	2336654	105
8874696	2901002	1
4703367	4983450	4
4703367	1240268	1
4870005	4983450	4
4870005	1240268	1
1240268	4983450	3
11035597	9081267	1
10007115	5173426	1
2901002	11323870	1
8144553	11323870	1
10002343	2901002	5
10002343	11323870	6
10002343	8144553	5
7964527	6256482	1
2832011	1499803	1
10119199	4333359	1
7964527	10119199	2
2255198	9214517	1
7964527	6625815	1
4518388	4238408	1
7671519	4238408	2
7671519	4518388	1
10991314	4333359	3
10868996	4333359	3
10337630	2901002	1
5858851	4909087	4
6792743	4333359	3
9512152	6792743	5
9512152	4333359	8
9512152	10799544	5
10799544	4333359	3
9840637	4909087	3
2901002	6287308	2
9081267	4909087	4
9976846	9840637	1
9976846	8123710	1
2958943	9840637	1
2958943	8123710	1
5238915	6361531	2
5238915	3735873	1
3735873	6361531	1
11015427	8123710	2
3284713	7237062	3
9803111	7237062	4
9803111	3284713	1
3967578	7237062	4
3967578	3284713	1
6797250	7237062	4
6797250	3284713	1
6287308	4333359	1
5322660	8410622	3
6881240	1762211	2
7077050	3483203	1
9512152	2901002	6
4550141	8111755	1
6220759	8111755	1
1831706	8970054	1
2901002	10895207	1
9803111	4333359	3
11161774	6779307	5
7964527	6779307	5
3711940	6779307	5
11180560	6779307	5
2901002	4909087	4
7671519	9698684	1
7671519	6286540	1
7671519	2901002	1
6792743	6286540	1
6792743	2901002	1
4819353	1782792	1
8727339	9698684	2
10712188	10201580	7
6674648	7237997	1
5855649	9177877	1
4593642	2901002	2
4909087	2336654	10
11058247	5368599	2
366553	8846998	1
221794	7093741	1
9960182	2901002	1
4075155	8453690	3
8899386	4075155	3
8899386	8453690	6
5496433	6942527	4
5496433	9698684	1
9698684	6942527	3
6177877	4492932	3
3021415	10025972	2
7386332	2901002	1
2901002	4333359	2
8123710	4333359	1
8708364	4909087	5
6220759	8795073	2
6220759	10164573	1
6220759	7093741	1
10164573	8795073	1
7093741	8795073	1
6177877	4139744	1
6177877	2901002	1
7964527	4139744	1
8120908	4001592	1
2695448	8120908	2
2695448	7932273	1
2695448	4001592	3
7932273	8120908	1
7932273	4001592	2
9698684	9840637	1
11035961	4909087	5
4267414	4001592	1
2901002	6361531	3
9962315	3483203	2
2406949	9962315	1
2406949	3483203	3
11019598	7165168	1
11019598	736937	1
9698684	9209546	8
2901002	9869695	1
10953743	2421817	1
4541412	9698684	1
4541412	9209546	3
9334238	9698684	1
9334238	9209546	3
10089328	9698684	1
10089328	9209546	3
6220759	4194079	1
2825570	4194079	1
5647272	4785185	9
5162768	8628758	2
5916727	4565947	2
7964527	5916727	1
7964527	4565947	3
7964527	9209546	45
9840637	9209546	2
6817835	2535611	1
2702737	2901002	1
7227627	100297	1
2937831	3685856	6
5625497	9209546	2
5820814	9209546	2
3152047	9209546	1
4838587	6361531	2
4838587	2901002	1
9299259	6361531	7
9198381	6615163	1
9198381	2847946	1
9299259	2847946	6
9299259	9198381	5
9177877	9209546	1
9177877	4333359	1
3679377	9209546	2
9698684	4909087	4
9209546	4909087	10
2131903	3149277	4
2131903	974555	4
2131903	2303761	4
7168104	9274732	1
5704863	4001592	1
9637318	2303761	3
9637318	772649	21
2303761	772649	18
9698684	10201580	7
651174	542190	1
3639023	9209546	2
8252763	6615163	1
8252763	9845763	1
6287308	4909087	6
1212401	6287308	2
1212401	4909087	5
2966617	6287308	2
2966617	4909087	5
4016285	9274732	1
4016285	7388477	1
7752296	9142590	1
9512152	3073185	6
5866580	4909087	5
9497965	4909087	4
7400128	3483203	2
9553594	3483203	2
7057003	4492932	3
2901002	3510736	8
4542359	3510736	4
8046232	7420623	2
6109920	7420623	2
9500059	8468264	3
8708364	4800652	1
3288092	10653196	1
3288092	3390419	1
4098013	10239789	1
4098013	2901002	3
4198852	2901002	1
4684861	9209546	2
10239789	9209546	2
7964527	6031995	1
6154287	6147621	5
6154287	5453723	9
5465130	6147621	5
5465130	5453723	9
6147621	5453723	4
4703367	2298012	1
4703367	4843503	2
2298012	4843503	1
5720196	2901002	1
5720196	9698684	1
8727339	2901002	1
8708364	6296473	1
6866811	6799297	3
4267414	9209546	2
5120049	2901002	1
5178905	2901002	3
8146556	2336654	7
8146556	5820814	1
3908247	8111755	1
3279716	9492673	1
7964527	6671176	10
7359176	7954504	2
8334261	7359176	1
8334261	7954504	3
4801783	8643941	2
4801783	67579	1
4801783	3483203	2
4801783	9209546	3
8643941	9209546	1
67579	8643941	1
67579	3483203	1
67579	9209546	2
3483203	9209546	3
9209546	6858244	1
2901002	9209546	26
2901002	6858244	3
7171976	5015569	39
4807458	7171976	4
4807458	5015569	43
9948827	4025659	1
2901002	7505383	1
10020435	7473629	3
5806755	3483203	2
7964527	4585713	1
7964527	487339	6
3483203	487339	1
3483203	4333359	3
6671176	4333359	1
6671176	9209546	1
3877338	1541036	16
3877338	5182136	2
5182136	1541036	14
2799941	4333359	3
2799941	9371607	1
9371607	4333359	2
6348485	4333359	3
6348485	9371607	1
7964527	4800652	1
381179	2336654	4
5741205	381179	3
5741205	2336654	7
6887528	2901002	1
10292474	6671176	2
2901002	4317058	2
9218680	2901002	1
9218680	4317058	2
8305660	6942527	4
8708364	6942527	4
3800761	7277561	1
2961541	2336654	7
2961541	9769953	1
9769953	2336654	6
6480402	2336654	7
6480402	6671176	2
6671176	2336654	5
8305660	2535611	1
6287308	7111382	1
3023116	7111382	1
2535611	3483203	6
6660373	3483203	2
6660373	2535611	1
4198852	3483203	2
4198852	2535611	1
10320838	3483203	2
10320838	2535611	1
8404453	10201580	6
10242229	8208006	1
1422451	6361531	2
4557382	9177877	1
8136350	4557382	1
8136350	7388477	1
8136350	9177877	2
7964527	4557382	1
7964527	7388477	1
7964527	9177877	2
7388477	9177877	1
5506894	4333359	3
7964527	2137255	2
2137255	9209546	1
