from,Score1,to,Score2
1497720,1,9020163,0
1497720,1,4333359,3
1497720,1,9227188,0
1497720,1,11219825,-1
11058050,-1,5828160,0
6343355,1,2901002,1
6343355,1,10128550,0
1876739,2,3279716,1
1876739,2,2901002,1
9940344,0,2901002,1
490507,24,10231630,13
490507,24,3935325,4
490507,24,4854591,11
5487719,0,7954504,3
11653862,0,8263801,2
7758804,2,4323,2
593450,0,1011724,0
12161849,0,3257992,0
6238676,1,3944322,2
6238676,1,2538939,0
1876739,2,8468264,4
1876739,2,11884237,0
1876739,2,7964527,0
11956484,0,9302488,0
11956484,0,12159691,0
11956484,0,3185459,0
11956484,0,7964527,0
12156660,0,7964527,0
7173956,0,12152061,1
10383617,-2,7964527,0
10383617,-2,2535611,1
11956484,0,5152563,1
11956484,0,10189214,0
11956484,0,4333359,3
11956484,0,4238408,2
5443574,1,5996972,3
8684435,2,9302488,0
8684435,2,5966042,0
8684435,2,3444175,2
9310528,1,9274732,1
334757,7,7954504,3
11956484,0,2851685,2
10136912,0,4238408,2
946137,0,2970853,0
5183031,3,3185459,0
5183031,3,11452713,2
5183031,3,11884237,0
12134565,0,3866678,0
11221612,2,6417219,0
11221612,2,6668254,0
11221612,2,11403935,0
11221612,2,2901002,1
11221612,2,7932273,0
4526288,2,5470573,1
4526288,2,9840637,2
4526288,2,11897007,0
4526288,2,2538939,0
11653862,0,2901002,1
11653862,0,4286590,0
11653862,0,8300135,3
4559989,-1,1755108,2
6083404,1,9728885,2
11653862,0,2901002,1
10800593,1,2851685,2
10800593,1,2901002,1
946137,0,3866678,0
946137,0,10286430,0
11841670,0,2901002,1
946137,0,2901002,1
11529732,1,9375102,0
11198558,0,3187537,0
11165978,4,2851685,2
11165978,4,3545273,0
11165978,4,8244247,0
6800041,0,10315062,0
11853632,0,8300135,3
10443658,0,6348485,0
11135962,0,12076271,1
11135962,0,1999585,1
10458370,0,11884237,0
10458370,0,7964527,0
12063840,0,12063840,0
12063840,0,10397364,1
5231224,1,2901002,1
10443658,0,9840637,2
10443658,0,4238408,2
5212614,2,11037648,3
5212614,2,2336654,7
439621,2,2901002,1
439621,2,7697652,0
11463582,0,11832127,0
11911984,1,6925185,0
11911984,1,2198210,2
1139541,0,11610186,0
3130747,2,3130747,2
8266189,0,1453822,1
9389773,1,2901002,1
9389773,1,9389773,1
8484261,0,8380272,0
10157833,2,7093741,1
11753555,0,6477565,3
11753555,0,2901002,1
11753555,0,5770501,3
10552640,1,1453822,1
5487719,0,4238408,2
3058703,1,1792467,0
3058703,1,9698684,1
10450242,1,11063448,0
12024038,2,2901002,1
10611339,1,2901002,1
9727789,0,9302488,0
9727789,0,554436,0
10552640,1,3483203,2
10552640,1,100297,1
10552640,1,12015722,0
10552640,1,9463227,3
10552640,1,7964527,0
11833086,1,2538939,0
6210239,0,6210239,0
9389773,1,11884237,0
9389773,1,4238408,2
9389773,1,2851685,2
9389773,1,11232091,0
5487719,0,10418812,0
5487719,0,10426037,2
5487719,0,7964527,0
11948485,1,7204688,0
11948485,1,67579,1
11948485,1,11932640,-1
11783776,0,943978,1
11783776,0,7964527,0
10694466,0,2796875,0
10694466,0,1966723,0
10694466,0,9299259,-5
10537237,0,11051292,0
10537237,0,6104959,0
10537237,0,11990697,1
10537237,0,3911355,0
12028888,1,2901002,1
5487719,0,11872364,0
5487719,0,10722934,0
5487719,0,11232091,0
12005616,0,5266708,0
5703997,0,1855988,1
9378830,0,6517513,1
12024595,0,4396243,1
6589617,2,2336654,7
6589617,2,4333359,3
12018686,0,10275246,0
12018686,0,7136195,0
3767239,1,3767239,1
3767239,1,7964527,0
3180386,3,2901002,1
9431573,0,11884237,0
9378830,0,1651543,2
9837354,1,9209546,3
11970440,0,6925185,0
11970440,0,11610186,0
11970440,0,4674445,1
11053294,-1,3944322,2
11908896,-1,11908896,-1
11908896,-1,6893256,0
9431573,0,3161575,0
9431573,0,3185459,0
4526288,2,5847854,2
12000031,0,1139196,1
10803986,1,10713992,0
10803986,1,8380272,0
3871499,-1,10791931,0
3871499,-1,8544123,0
7422143,0,532312,1
1228481,1,2901002,1
415088,0,10655111,0
9431573,0,2535611,1
4150078,2,7420056,1
4150078,2,532312,1
4150078,2,8123710,2
11956484,0,2901002,1
11956484,0,9081267,1
9580869,0,10734200,2
4347859,2,1752959,1
10829044,1,9698684,1
11958749,5,7758804,2
10808871,0,10818128,1
7535670,1,7031759,0
7535670,1,9840637,2
11977590,2,11779238,2
11977590,2,10713992,0
11977590,2,9698684,1
11977677,0,3836843,0
9283026,1,3704368,0
9283026,1,11945002,0
9283026,1,2901002,1
10647332,2,7758804,2
8266189,0,11747861,1
7353600,1,6361531,2
11872426,0,7388477,1
11580723,2,11969592,0
11580723,2,8708364,0
5703997,0,2592393,1
5703997,0,10740966,2
8359767,0,9698684,1
11956484,0,3462681,0
11956484,0,11498682,0
11135962,0,2901002,1
11135962,0,10124054,0
11884542,-4,3763302,1
10770660,4,2901002,1
415088,0,9840637,2
415088,0,4286590,0
415088,0,3742686,1
415088,0,1651543,2
9644362,1,5833590,1
2022284,2,9274732,1
11934674,2,9840637,2
11951151,0,11947068,0
11951151,0,11945002,0
7505228,2,2901002,1
8958254,2,11492024,1
8958254,2,2901002,1
9644362,1,7964527,0
11053294,-1,7964527,0
11053294,-1,2535611,1
7517610,0,10189214,0
7517610,0,2535611,1
2658898,0,2741091,2
2658898,0,3715974,0
11946630,2,11535376,0
8339485,-2,51685,3
5250909,0,2703401,1
5250909,0,8733066,0
5250909,0,10713992,0
11945555,3,2901002,1
6664990,5,7333883,5
6664990,5,7295157,6
6664990,5,6361531,2
11941800,1,4909087,5
11939521,-1,11864134,0
11939521,-1,6512253,1
11810737,1,9025861,1
5328289,0,2538939,0
5703997,0,10837503,2
1033606,0,2947378,1
11723688,0,632227,0
3993270,0,10996274,0
11639342,0,11633355,0
2493856,0,7903159,0
2493856,0,11832127,0
11928649,0,10067043,0
10018602,0,11884237,0
11456979,1,2901002,1
11456979,1,1311943,0
8821584,0,5282702,1
8821584,0,2631973,0
8821584,0,5507529,0
8382707,2,4333359,3
11729738,2,10837503,2
11729738,2,2535611,1
