UserId,Score
10130636,0
6225526,2
7547385,0
11956484,0
7972788,1
9530105,1
12417990,0
11578327,0
4872347,1
11608340,0
12369529,-1
12390973,1
11058050,-1
11069741,1
3967806,-1
5092352,2
12401745,-1
9538252,1
5966402,0
11828422,0
12289180,0
12289180,0
666130,0
7498328,1
12289180,0
12275675,0
12462059,0
10952764,0
11956484,1
7533983,0
12313190,2
12007010,0
1328569,0
12447125,0
11518140,1
8053370,1
5699604,6
11989075,0
12275675,0
12442832,0
11995602,0
4295825,0
12289180,0
11927597,-2
8795734,1
9712631,0
1761521,1
7574199,1
9413910,0
11500955,0
12426448,0
11939595,0
7547586,0
11413949,1
12417435,0
4694757,2
8980820,-3
12314453,0
3277133,1
4430536,0
1497720,1
5231306,1
11079456,2
8568110,0
5868293,0
1497720,1
7320236,0
5703997,0
12313463,-1
9976350,0
5687636,1
12100658,-2
11003573,0
10885275,1
10365747,0
9281012,1
5491428,0
11363434,-1
11633491,1
5391663,4
5391663,1
11511865,2
12358330,0
11906577,-1
11463582,0
12352987,1
10365747,1
11909703,0
8797830,1
10313194,0
5313508,0
12282966,0
12261833,2
12282966,0
5703997,1
12225102,2
10332687,2
7932273,0
6428488,1
12026054,0
12331436,0
7930571,0
10262731,0
578204,1
11322052,2
990568,0
11964370,1
8201945,0
1692468,0
10885275,1
11776529,2
7149485,2
10537172,1
11227308,2
9869695,2
12134565,0
12281253,2
11322052,1
6043544,0
11956484,2
3270244,2
9834122,1
10896502,-1
9057704,0
12292032,2
12277274,0
12287234,2
10719369,2
2293224,0
6043544,1
12288754,0
11744685,1
9161067,3
12134565,0
3130747,2
989185,0
12270780,0
10580461,1
5868293,0
5868293,0
8888469,0
3431964,1
5868293,2
5859808,0
4876561,0
6011149,0
6043544,1
10081864,0
2526657,47
1243255,1
5868293,0
11246230,0
1497720,0
8820330,0
8820330,1
12249994,1
11851719,0
1497720,1
1497720,0
9578831,0
12242218,1
3284746,1
12229568,1
6279751,0
6043544,0
2293224,0
2293224,2
6903126,0
12224105,1
8285831,1
10636733,0
8650115,0
10896502,1
1928522,1
9848572,1
5868293,1
11841670,0
1497720,0
1497720,0
3146365,1
1497720,0
1497720,2
10464003,0
11956484,2
9408112,0
8335171,0
12196221,-1
9629771,1
11956484,0
2264225,3
2119941,1
1497720,1
6495480,0
10491430,0
1497720,1
5152914,3
11822295,-1
12140563,0
12177976,0
1497720,4
11058050,0
6343355,1
1876739,2
2982094,0
9940344,0
490507,24
5487719,0
11653862,0
7758804,2
11536497,1
11992884,0
593450,0
12161849,0
9629771,0
6238676,1
1876739,1
11956484,1
12156660,0
7173956,0
10383617,-2
11956484,2
5443574,1
5703997,0
8684435,2
9310528,1
334757,7
11956484,0
10136912,0
12054815,0
946137,0
5183031,3
12134565,1
11221612,2
6302796,0
4526288,2
4430536,1
11653862,1
4559989,-1
6083404,1
11653862,1
10800593,1
946137,0
946137,0
4731770,2
7671519,0
11841670,0
946137,1
11529732,1
11198558,0
11165978,4
6800041,0
11853632,0
10443658,0
11135962,0
10458370,0
12063840,0
5231224,1
10443658,1
5212614,2
439621,2
11463582,0
11911984,1
1139541,0
3130747,0
8266189,0
9389773,1
3535695,0
8484261,0
10157833,2
11753555,0
10552640,1
5487719,1
12053216,2
3058703,1
10450242,1
12024038,2
10611339,1
9727789,0
10552640,2
11833086,1
6210239,0
9389773,1
9389773,0
5487719,4
5487719,0
11948485,1
11783776,0
10694466,0
5703997,0
10537237,0
12028888,1
5487719,0
12005616,0
5703997,-1
9378830,0
12024595,0
6589617,2
11985525,0
12018686,0
3767239,1
3180386,3
9431573,0
9378830,0
9837354,1
11970440,0
11053294,-1
11908896,-1
9431573,2
4526288,0
12000031,0
10803986,1
3871499,-1
7422143,0
1228481,1
415088,0
9431573,2
10647332,2
4150078,2
11956484,0
9580869,0
4347859,2
10829044,1
11958749,5
10808871,0
3253821,0
7535670,1
11977590,2
11977590,1
11977677,0
9283026,1
10647332,-2
8266189,1
3543695,1
7353600,1
11872426,0
11580723,2
5703997,0
8359767,0
11956484,0
9227955,0
11135962,0
11884542,-4
10770660,4
10915257,0
415088,3
9644362,1
2022284,2
11934674,2
11951151,0
2493856,0
8542257,0
7505228,2
8958254,2
9644362,2
11053294,1
7517610,0
2658898,0
11946630,2
8339485,-2
5250909,0
11945555,3
6664990,5
11941800,1
11939688,1
11939521,-1
11810737,1
5328289,0
11053196,0
5703997,0
1033606,0
11723688,0
11822211,1
3993270,0
11639342,0
2493856,-1
11928649,0
10018602,0
11456979,1
8821584,0
8382707,2
11729738,2
10407737,-1
11853632,2
11139350,1
11463582,0
8446738,1
9585960,0
8301072,0
11639969,1
11601034,0
9083355,0
4160251,0
11871120,5
1033606,1
9940344,0
11905726,0
7728410,1
2485873,1
3631440,0
11902219,0
11880185,0
11173141,1
5055891,0
5072692,0
4996042,0
7954504,3
5553761,1
9942021,0
10808871,1
11816060,2
3656142,0
1536343,2
11600655,1
5868293,2
5868293,1
3058703,2
11878746,0
11878337,0
965778,0
667355,0
11430761,2
11873300,0
8867530,2
11463582,1
4996042,0
3166881,0
667355,0
10632473,0
2598316,-1
667355,0
11816060,2
10018602,1
4463305,0
11766953,0
11359253,0
11463582,0
11846355,1
11846355,0
9161607,2
11737596,2
11841536,0
5124600,0
11851719,0
9940344,0
9822593,0
11848326,2
11848326,0
11848326,1
6843546,0
8915326,4
11842999,3
10537172,-1
5868293,2
11793041,0
8076217,0
11838431,1
7039652,0
11836102,0
10728472,0
10704050,1
10631169,0
11723147,1
10473393,1
9144386,1
10018602,0
808946,-2
8150532,4
11049287,0
11822211,0
11740957,1
2679225,1
11113048,1
11773938,2
3249399,0
11805447,1
10906075,0
1479974,2
10329877,1
11027302,0
1750612,0
11463582,0
11787898,0
3689085,1
11787291,1
10808871,0
8515731,0
11783204,-1
11781149,1
11202824,0
7691211,0
10750517,1
4390183,0
11665508,1
3552144,0
7420623,2
9921453,0
8700970,1
2401532,-5
10375196,0
5212614,0
5212614,0
5813071,3
2480410,1
11027302,4
11741662,1
4058737,3
11027302,1
11196704,1
10644025,4
10631079,2
4972716,7
9940344,1
11463582,0
3685918,0
5868293,1
11518140,0
3143203,1
9195301,1
5864214,-1
9863261,2
9944937,1
6896310,0
11181726,1
9099959,1
9497926,1
10018602,0
11600323,1
6759267,0
11731242,0
11729738,0
11727943,0
5684405,0
4829258,3
4666912,0
9161607,2
4458477,1
583464,-1
10808871,2
270326,1
11135962,1
11565807,0
7462615,6
9161607,0
8346493,2
9099959,0
11312863,2
11196704,0
11579479,1
11075330,0
9099959,-1
11519635,0
11688141,0
1761521,0
9561497,0
6436846,-1
2168400,0
5967886,2
11196704,0
9024698,0
11312863,1
9378830,0
11666502,0
5212614,0
3811918,1
7547586,0
11312863,0
6140832,3
2242044,1
11228769,0
8993099,0
11324057,0
9799540,1
866364,2
9024698,1
11658120,0
10193760,0
11652299,0
11650891,1
10895812,4
6043544,0
576448,0
4746684,1
9895978,-2
11639677,0
11611758,1
11636704,0
7932273,1
11633760,0
2091230,4
9530105,0
10396157,1
10058906,1
4701426,1
3848207,0
11600098,0
9998722,0
292291,0
11623512,1
11616334,3
9024698,0
9024698,0
11196704,1
6157474,0
11053801,0
11600963,0
